消費年月,縣市名稱,產業類別,交易筆數,交易金額,客單價
2020年10月,臺中市,文教康樂,1740849,2716253183,1560.3
2020年10月,臺中市,百貨,1271863,4266838336,3354.79
2020年10月,臺中市,其他,4890339,11504569437,2352.51
2020年10月,彰化縣,食,1073971,865111920,805.53
2020年10月,彰化縣,衣,101068,251564903,2489.07
2020年10月,彰化縣,住,119923,410737092,3425.01
2020年10月,彰化縣,行,881593,682342020,773.99
2020年10月,彰化縣,文教康樂,441125,620531235,1406.7
2020年10月,彰化縣,百貨,273283,860259656,3147.87
2020年10月,彰化縣,其他,1312728,3155547986,2403.81
2020年10月,南投縣,食,359437,281727724,783.8
2020年10月,南投縣,衣,33216,80737027,2430.67
2020年10月,南投縣,住,40573,133944268,3301.32
2020年10月,南投縣,行,302562,228467539,755.11
2020年10月,南投縣,文教康樂,153004,210179709,1373.69
2020年10月,南投縣,百貨,90932,263603673,2898.91
2020年10月,南投縣,其他,451609,975166547,2159.32
2020年10月,雲林縣,食,428475,349388654,815.42
2020年10月,雲林縣,衣,43629,101251249,2320.73
2020年10月,雲林縣,住,50136,166117304,3313.33
2020年10月,雲林縣,行,403458,308343375,764.25
2020年10月,雲林縣,文教康樂,188080,237056615,1260.4
2020年10月,雲林縣,百貨,104406,340053569,3257.03
2020年10月,雲林縣,其他,535846,1215105848,2267.64
2020年10月,嘉義縣,食,316326,266694866,843.1
2020年10月,嘉義縣,衣,27304,64570733,2364.88
2020年10月,嘉義縣,住,33406,104467060,3127.19
2020年10月,嘉義縣,行,298345,219655546,736.25
2020年10月,嘉義縣,文教康樂,136463,167492895,1227.39
2020年10月,嘉義縣,百貨,82801,280284596,3385.04
2020年10月,嘉義縣,其他,380945,878639779,2306.47
2020年10月,嘉義市,食,351079,290539476,827.56
2020年10月,嘉義市,衣,26497,66383030,2505.3
2020年10月,嘉義市,住,38419,141627282,3686.39
2020年10月,嘉義市,行,222585,159286568,715.62
2020年10月,嘉義市,文教康樂,124252,172044550,1384.64
2020年10月,嘉義市,百貨,94387,367573699,3894.33
2020年10月,嘉義市,其他,413822,922750681,2229.83
2020年10月,臺南市,食,2461862,1912657754,776.92
2020年10月,臺南市,衣,178685,416865036,2332.96
2020年10月,臺南市,住,276793,919331782,3321.37
2020年10月,臺南市,行,1622767,1156085360,712.42
2020年10月,臺南市,文教康樂,896937,1201268409,1339.3
2020年10月,臺南市,百貨,823703,3357643264,4076.28
2020年10月,臺南市,其他,2663293,6234150530,2340.77
2020年10月,高雄市,食,4086705,3487794712,853.45
2020年10月,高雄市,衣,284251,636210126,2238.2
